B_COUNTRY_ALPHA,n,agp,leader,army,nodem
VNM,1048,2.6622137404580153,3.257769652650823,3.06606334841629,1.665486725663717
IRQ,1130,2.585250737463127,3.004258943781942,2.463793103448276,2.269922879177378
PHL,1195,2.584100418410042,2.906588824020017,2.7241666666666666,2.1220735785953178
THA,1448,2.5784990791896867,3.3856164383561644,2.70109439124487,1.6468984321745057
UZB,932,2.526824034334764,3.1460258780036967,2.4845154845154847,1.919776119402985
MMR,1200,2.4858333333333333,3.0391666666666666,2.8725,1.5458333333333334
TJK,1200,2.470277777777778,3.0625,2.8841666666666668,1.4641666666666666
MNG,1638,2.450956450956451,2.9316239316239314,2.341880341880342,2.0793650793650795
ARM,985,2.4426395939086296,3.132680320569902,2.448051948051948,1.7628032345013478
KGZ,940,2.4414893617021276,2.980806142034549,2.345029239766082,2.032258064516129
KAZ,971,2.411946446961895,3.0558558558558557,2.293889427740058,1.8590785907859078
MEX,1646,2.3983394086674767,2.8712344949793267,2.3518299881936247,1.9724178403755868
PAK,1741,2.3781351713574574,2.506767731456416,2.7289473684210526,1.900319829424307
IDN,3058,2.3487028558971006,2.656759348034516,2.6987874920229737,1.6919628562279858
LBN,1152,2.330439814814815,2.1876061120543295,2.8503401360544216,1.9416737109044802
GTM,1229,2.315161377813941,2.9951179820992677,2.210740439381611,1.739625711960944
MYS,1312,2.3020833333333335,2.863567073170732,2.3528963414634148,1.6897865853658536
LBY,1098,2.2884031572556163,2.6366812227074234,2.6739702015775637,1.5813751087902523
PER,1238,2.274636510500808,2.8044478527607364,2.260574018126888,1.7679640718562875
BRA,1264,2.2718881856540083,2.7764550264550265,2.3061643835616437,1.791310072416063
JOR,943,2.2626369741958285,2.555765595463138,2.231718898385565,2.0246062992125986
IND,1386,2.254930254930255,2.9823529411764707,2.18363136176066,1.5978120978120978
ROU,963,2.2537210107303567,3.1848214285714285,2.071290944123314,1.536283185840708
KOR,1245,2.220615796519411,2.7582329317269076,1.7397590361445783,2.163855421686747
ECU,1130,2.2097345132743365,3.0,1.8687821612349915,1.7560137457044673
KEN,1198,2.209237618252643,2.618314424635332,2.2401315789473686,1.7664768104149715
SRB,836,2.185805422647528,2.488814317673378,2.2183098591549295,1.8637951105937136
CHN,2919,2.169236039739637,2.38890756302521,2.3758457374830853,1.7473154362416108
RUS,1389,2.163186945044396,2.6330798479087454,1.8416030534351144,2.027940220922677
COL,1520,2.1524122807017543,2.7394736842105263,1.9046052631578947,1.813157894736842
UKR,883,2.1506228765571915,2.7882882882882885,1.8085901027077498,1.8951841359773371
NGA,1209,2.1202095395643785,2.6284779050736495,2.1455437448896157,1.5904298459042985
MAC,1012,2.1021080368906455,2.296368989205103,1.9419862340216323,2.0708661417322833
TWN,1166,2.086906803887936,2.867003367003367,1.7039529015979815,1.6994171523730224
IRN,1443,2.0693000693000694,2.5085557837097876,2.272233536999321,1.4383468834688347
MAR,1200,2.0669444444444447,2.6283333333333334,1.9266666666666667,1.6458333333333333
MDV,1003,2.062811565304088,2.2151277013752457,1.775049115913556,2.1915520628683693
BOL,1794,2.04199182460052,2.7947229551451187,1.728578758337609,1.6271013754457464
NIC,1200,2.0391666666666666,2.703333333333333,1.75,1.6641666666666666
TUN,1125,2.015111111111111,1.9708154506437767,2.127917026793431,1.9498299319727892
VEN,1190,2.0134453781512605,2.6050420168067228,1.7915966386554623,1.6436974789915966
CHL,779,1.9323919554985023,2.3616018845700824,1.7402298850574713,1.7043956043956043
HKG,2008,1.8960823373173972,2.130029440628067,1.586392559960842,1.974472263132057
URY,822,1.8913219789132198,2.4027303754266214,1.7902702702702702,1.5316184351554127
ARG,833,1.8771508603441378,2.6719636776390465,1.5377258235919236,1.4265159301130523
PRI,1088,1.8682598039215688,2.5257452574525745,1.5638009049773756,1.521383075523203
ETH,1135,1.8511013215859031,2.2949826989619377,1.9649572649572649,1.297979797979798
ZWE,1171,1.8397381155707373,2.27791771620487,1.936386768447837,1.3219063545150502
USA,2479,1.8251983326610193,2.0822510822510822,1.7025316455696202,1.7050617776006376
BGD,962,1.8115038115038116,1.7384324834749765,2.1306765523632993,1.6145454545454545
SGP,1745,1.7816618911174784,2.1038312048861743,1.5344367325146824,1.6748010610079576
SVK,1069,1.7761147489865918,1.9203619909502263,1.6492932862190812,1.763793103448276
CZE,1138,1.773286467486819,1.7767158992180712,1.7200689061154177,1.8253833049403747
CYP,410,1.661788617886179,2.36046511627907,1.3232104121475055,1.4842105263157894
CAN,4018,1.6068524970963995,1.741911398705824,1.5313588850174216,1.5472872075659532
JPN,1056,1.5962752525252526,2.026292725679229,1.1880269814502529,1.598976109215017
NLD,1589,1.5842248793790645,2.0689858490566038,1.2712053571428572,1.4885974914481186
NIR,411,1.5766423357664234,1.9295774647887325,1.4272300469483568,1.3916083916083917
GBR,2412,1.5631564400221116,1.8282258064516128,1.4520222045995241,1.4345570630486832
AUS,1717,1.5344593282857697,1.8360091743119267,1.3510882016036656,1.429718875502008
AND,974,1.4859685147159478,1.8304914744232699,1.336048879837067,1.3186372745490982
NZL,889,1.3854518185226847,1.5658174097664543,1.1901776384535006,1.4702127659574469
DEU,1428,1.3788515406162465,1.7886347886347886,1.1253333333333333,1.2349397590361446
GRC,1158,1.286125503742084,1.408006814310051,1.2684165961049958,1.1936295054484494
EGY,0,,2.0588235294117645,,1.441263573543929
TUR,0,,2.5801776531089295,,1.77728285077951
