spec,category,n_obs,n_events,agp_coef,agp_se,agp_pval,agp_or,significant,positive
A1_primary,measurement,325,48,0.6564,0.1764,0.0002,1.9279,True,True
A2_leader,measurement,325,48,1.4376,0.3732,0.0001,4.2107,True,True
A3_nodem,measurement,325,48,1.207,0.6789,0.0754,3.3434,False,True
A4_army,measurement,325,48,1.4739,0.3381,0.0,4.3662,True,True
A5_2item,measurement,325,48,2.1508,0.589,0.0003,8.5917,True,True
A6_army_wt,measurement,325,48,2.4473,0.5271,0.0,11.5572,True,True
A7_tertile,measurement,325,48,1.4654,0.3269,0.0,4.3292,True,True
B1_wave_FE,specification,325,48,0.6954,0.1832,0.0001,2.0046,True,True
B2_lag1,specification,220,38,0.6597,0.1984,0.0009,1.9341,True,True
B3_lag2,specification,136,28,0.6354,0.2326,0.0063,1.8877,True,True
B4_excl_w3,specification,273,44,0.5967,0.1851,0.0013,1.8161,True,True
B5_excl_w7,specification,239,27,0.6235,0.2238,0.0053,1.8655,True,True
B6_w_europe,specification,70,10,0.2548,0.3268,0.4356,1.2902,False,True
B7_non_west,specification,255,38,0.8377,0.2188,0.0001,2.311,True,True
B8_min200n,specification,324,48,0.6532,0.1766,0.0002,1.9216,True,True
B9_ctrl_n,specification,325,48,0.6371,0.1769,0.0003,1.8911,True,True
B10_wave_ix,specification,325,48,1.1235,0.7948,0.1575,3.0757,False,True
C1_rand_perm,placebo,325,48,-0.0811,0.1609,0.6142,0.9221,False,False
C2_dem_onset,placebo,325,48,0.3908,0.1878,0.0374,1.4781,True,True
D1_wave_econ,economic,325,48,0.6954,0.1832,0.0001,2.0046,True,True
D2_agp_sd,economic,304,44,0.6887,0.186,0.0002,1.9911,True,True
D3_subsamp,economic,325,48,0.6564,0.1764,0.0002,1.9279,True,True
E1_cult_wave,cultural,325,48,0.6954,0.1832,0.0001,2.0046,True,True
E2_agp_sd,cultural,304,44,0.6887,0.186,0.0002,1.9911,True,True
E3_post2004,cultural,214,39,0.6487,0.2062,0.0017,1.913,True,True
F1_wave_sup,supply_side,325,48,0.6954,0.1832,0.0001,2.0046,True,True
F2_agp_wave,supply_side,325,48,1.1235,0.7948,0.1575,3.0757,False,True
F3_lag_wFE,supply_side,220,38,0.709,0.2043,0.0005,2.0319,True,True
G1_sd_polar,polarization,304,44,0.6887,0.186,0.0002,1.9911,True,True
G2_n_trust,polarization,325,48,0.6371,0.1769,0.0003,1.8911,True,True
G3_temporal,polarization,325,48,1.1235,0.7948,0.1575,3.0757,False,True
